 
Results Sensor2
07/26/2024 08:47:37
Time[s];Pressure[psi]
0.1;0.40
0.2;0.57
0.3;0.57
0.4;0.40
0.5;0.46
0.6;0.57
0.7;0.46
0.8;0.57
0.9;0.46
1.0;0.57
1.1;0.52
1.2;0.57
1.3;0.57
1.4;0.52
1.5;0.57
1.6;0.57
1.7;0.52
1.8;0.46
1.9;0.57
2.0;0.46
2.1;0.57
2.2;0.52
2.3;0.52
2.4;0.46
2.5;0.57
2.6;0.46
2.7;0.46
2.8;0.52
2.9;0.52
3.0;0.52
3.1;0.69
3.2;0.46
3.3;0.46
3.4;0.52
3.5;0.52
3.6;0.57
3.7;0.52
3.8;0.57
3.9;0.40
4.0;0.46
4.1;0.57
4.2;0.57
4.3;0.46
4.4;0.46
4.5;0.46
4.6;0.52
4.7;0.52
4.8;0.57
4.9;0.57
5.0;0.46
5.1;0.46
5.2;0.57
5.3;0.40
5.4;0.52
5.5;0.46
5.6;0.46
5.7;0.52
5.8;0.57
5.9;0.52
6.0;0.40
6.1;0.52
6.2;0.52
6.3;0.52
6.4;0.46
6.5;0.57
6.6;0.57
6.7;0.46
6.8;0.46
6.9;0.46
7.0;0.52
7.1;0.57
7.2;0.52
7.3;0.63
7.4;0.46
7.5;0.57
7.6;0.46
7.7;0.46
7.8;0.40
7.9;0.46
8.0;0.52
8.1;0.34
8.2;0.34
8.3;0.52
8.4;0.40
8.5;0.46
8.6;0.46
8.7;0.34
8.8;0.40
8.9;0.63
9.0;0.57
9.1;0.46
9.2;0.57
9.3;0.69
9.4;0.63
9.5;0.40
9.6;0.46
9.7;0.63
9.8;0.57
9.9;0.46
10.0;0.46
10.1;0.40
10.2;0.52
10.3;0.52
10.4;0.46
10.5;0.46
10.6;0.69
10.7;0.40
10.8;0.52
10.9;0.63
11.0;0.46
11.1;0.52
11.2;0.52
11.3;0.63
11.4;0.46
11.5;0.52
11.6;0.57
11.7;0.46
11.8;0.40
11.9;0.52
12.0;0.46
12.1;0.34
12.2;0.57
12.3;0.46
12.4;0.57
12.5;0.57
12.6;0.40
12.7;0.46
12.8;0.57
12.9;0.69
13.0;0.52
13.1;0.34
13.2;0.57
13.3;0.52
13.4;0.52
13.5;0.46
13.6;0.57
13.7;0.52
13.8;0.52
13.9;0.52
14.0;0.57
14.1;0.40
14.2;0.69
14.3;0.52
14.4;0.52
14.5;0.40
14.6;0.52
14.7;0.34
14.8;0.69
14.9;0.52
15.0;0.40
15.1;0.57
15.2;0.63
15.3;0.46
15.4;0.57
15.5;0.52
15.6;0.57
15.7;0.57
15.8;0.40
15.9;0.52
16.0;0.57
16.1;0.52
16.2;0.52
16.3;0.52
16.4;0.52
16.5;0.57
16.6;0.57
16.7;0.46
16.8;0.63
16.9;0.57
17.0;0.46
17.1;0.52
17.2;0.74
17.3;0.40
17.4;0.57
17.5;0.46
17.6;0.46
17.7;0.46
17.8;0.52
17.9;0.63
18.0;0.46
18.1;0.46
18.2;0.46
18.3;0.46
18.4;0.46
18.5;0.63
18.6;0.57
18.7;0.46
18.8;0.52
18.9;0.52
19.0;0.46
19.1;0.52
19.2;0.52
19.3;0.57
19.4;0.40
19.5;0.46
19.6;0.57
19.7;0.52
19.8;0.52
19.9;0.46
20.0;0.46
20.1;0.46
20.2;0.52
20.3;0.57
20.4;0.52
20.5;0.46
20.6;0.57
20.7;0.52
20.8;0.46
20.9;0.52
21.0;0.52
21.1;0.46
21.2;0.46
21.3;0.40
21.4;0.57
21.5;0.46
21.6;0.40
21.7;0.52
21.8;0.57
No Limits selected
