 
Results Sensor2
07/26/2024 08:46:55
Time[s];Pressure[psi]
0.1;0.52
0.2;0.34
0.3;0.52
0.4;0.52
0.5;0.46
0.6;0.57
0.7;0.63
0.8;0.63
0.9;0.52
1.0;0.46
1.1;0.57
1.2;0.57
1.3;0.40
1.4;0.57
1.5;0.46
1.6;0.52
1.7;0.52
1.8;0.57
1.9;0.52
2.0;0.52
2.1;0.57
2.2;0.52
2.3;0.46
2.4;0.46
2.5;0.46
2.6;0.63
2.7;0.63
2.8;0.52
2.9;0.46
3.0;0.46
3.1;0.46
3.2;0.46
3.3;0.46
3.4;0.40
3.5;0.52
3.6;0.57
3.7;0.52
3.8;0.57
3.9;0.57
4.0;0.46
4.1;0.57
4.2;0.40
4.3;0.46
4.4;0.57
4.5;0.57
4.6;0.63
4.7;0.46
4.8;0.46
4.9;0.52
5.0;0.40
5.1;0.46
5.2;0.57
5.3;0.46
5.4;0.57
5.5;0.57
5.6;0.46
5.7;0.46
5.8;0.57
5.9;0.52
6.0;0.57
6.1;0.57
6.2;0.46
6.3;0.57
6.4;0.52
6.5;0.57
6.6;0.46
6.7;0.46
6.8;0.57
6.9;0.63
7.0;0.40
7.1;0.46
7.2;0.46
7.3;0.57
7.4;0.46
7.5;0.46
7.6;0.57
7.7;0.40
7.8;0.52
7.9;0.40
8.0;0.63
8.1;0.46
8.2;0.52
8.3;0.46
8.4;0.57
8.5;0.52
8.6;0.52
8.7;0.46
8.8;0.57
8.9;0.57
9.0;0.57
9.1;0.52
9.2;0.57
9.3;0.57
9.4;0.46
9.5;0.46
9.6;0.40
9.7;0.57
9.8;0.52
9.9;0.40
10.0;0.57
10.1;0.52
10.2;0.57
10.3;0.40
10.4;0.52
10.5;0.40
10.6;0.46
10.7;0.52
10.8;0.52
10.9;0.46
11.0;0.40
11.1;0.52
11.2;0.40
11.3;0.52
11.4;0.52
11.5;0.52
11.6;0.57
11.7;0.52
11.8;0.40
11.9;0.52
12.0;0.52
12.1;0.40
12.2;0.52
12.3;0.69
12.4;0.57
12.5;0.52
12.6;0.52
12.7;0.46
12.8;0.46
12.9;0.46
13.0;0.63
13.1;0.46
13.2;0.40
13.3;0.52
13.4;0.46
13.5;0.52
13.6;0.46
13.7;0.40
13.8;0.57
13.9;0.52
14.0;0.52
14.1;0.63
14.2;0.52
14.3;0.46
14.4;0.40
14.5;0.52
14.6;0.46
14.7;0.46
14.8;0.69
14.9;0.57
15.0;0.34
15.1;0.63
15.2;0.52
15.3;0.46
15.4;0.46
15.5;0.52
15.6;0.40
15.7;0.57
15.8;0.46
15.9;0.57
16.0;0.34
16.1;0.52
16.2;0.57
16.3;0.34
16.4;0.57
16.5;0.34
16.6;0.46
16.7;0.52
16.8;0.40
16.9;0.46
17.0;0.57
17.1;0.52
17.2;0.57
17.3;0.46
17.4;0.52
17.5;0.40
17.6;0.63
17.7;0.52
17.8;0.46
17.9;0.52
18.0;0.52
18.1;0.40
18.2;0.52
18.3;0.46
18.4;0.57
18.5;0.57
18.6;0.46
18.7;0.57
18.8;0.74
18.9;0.46
19.0;0.52
19.1;0.46
19.2;0.40
19.3;0.46
19.4;0.57
19.5;0.63
19.6;0.63
19.7;0.46
19.8;0.46
19.9;0.46
20.0;0.46
No Limits selected
