 
Results Sensor2
06/24/2024 08:22:10
Time[s];Pressure[psi]
0.1;0.34
0.2;0.52
0.3;0.46
0.4;0.52
0.5;0.52
0.6;0.57
0.7;0.52
0.8;0.52
0.9;0.52
1.0;0.57
1.1;0.57
1.2;0.46
1.3;0.46
1.4;0.52
1.5;0.46
1.6;0.52
1.7;0.57
1.8;0.63
1.9;0.63
2.0;0.52
2.1;0.57
2.2;0.46
2.3;0.52
2.4;0.52
2.5;0.46
2.6;0.52
2.7;0.46
2.8;0.57
2.9;0.52
3.0;0.57
3.1;0.52
3.2;0.57
3.3;0.52
3.4;0.46
3.5;0.52
3.6;0.63
3.7;0.52
3.8;0.52
3.9;0.46
4.0;0.46
4.1;0.57
4.2;0.52
4.3;0.46
4.4;0.52
4.5;0.63
4.6;0.40
4.7;0.46
4.8;0.52
4.9;0.52
5.0;0.57
5.1;0.52
5.2;0.63
5.3;0.52
5.4;0.46
5.5;0.52
5.6;0.46
5.7;0.52
5.8;0.63
5.9;0.57
6.0;0.63
6.1;0.40
6.2;0.57
6.3;0.46
6.4;0.46
6.5;0.46
6.6;0.52
6.7;0.46
6.8;0.40
6.9;0.46
7.0;0.46
7.1;0.40
7.2;0.46
7.3;0.46
7.4;0.46
7.5;0.57
7.6;0.46
7.7;0.57
7.8;0.52
7.9;0.63
8.0;0.46
8.1;0.46
8.2;0.52
8.3;0.52
8.4;0.57
8.5;0.46
8.6;0.46
8.7;0.46
8.8;0.52
8.9;0.52
9.0;0.46
9.1;0.52
9.2;0.63
9.3;0.46
9.4;0.46
9.5;0.46
9.6;0.69
9.7;0.57
9.8;0.57
9.9;0.57
10.0;0.52
10.1;0.40
10.2;0.40
10.3;0.40
10.4;0.63
10.5;0.52
10.6;0.46
10.7;0.40
10.8;0.63
10.9;0.40
11.0;0.57
11.1;0.52
11.2;0.46
11.3;0.57
11.4;0.52
11.5;0.23
11.6;0.52
11.7;0.46
11.8;0.52
11.9;0.46
12.0;0.69
12.1;0.40
12.2;0.57
12.3;0.34
12.4;0.57
12.5;0.63
12.6;0.52
12.7;0.46
12.8;0.40
12.9;0.40
13.0;0.63
13.1;0.46
13.2;0.57
13.3;0.52
13.4;0.57
13.5;0.46
13.6;0.46
13.7;0.69
13.8;0.57
13.9;0.52
14.0;0.46
14.1;0.46
14.2;0.46
14.3;0.40
14.4;0.46
14.5;0.34
14.6;0.57
14.7;0.34
14.8;0.52
14.9;0.57
15.0;0.57
15.1;0.46
15.2;0.63
15.3;0.57
15.4;0.52
15.5;0.57
15.6;0.52
15.7;0.46
15.8;0.57
15.9;0.46
16.0;0.57
16.1;0.52
16.2;0.52
16.3;0.52
16.4;0.57
16.5;0.40
16.6;0.52
16.7;0.57
16.8;0.63
16.9;0.40
17.0;0.63
17.1;0.46
17.2;0.46
17.3;0.57
17.4;0.57
17.5;0.46
17.6;0.52
17.7;0.46
17.8;0.57
17.9;0.57
18.0;0.29
18.1;0.52
18.2;0.52
18.3;0.46
18.4;0.40
18.5;0.46
18.6;0.63
18.7;0.46
18.8;0.34
18.9;0.52
19.0;0.52
19.1;0.57
19.2;0.57
19.3;0.63
19.4;0.63
19.5;0.52
19.6;0.52
19.7;0.57
19.8;0.46
19.9;0.40
20.0;0.52
20.1;0.46
20.2;0.52
20.3;0.52
20.4;0.52
20.5;0.57
20.6;0.34
20.7;0.57
20.8;0.34
20.9;0.52
21.0;0.63
21.1;0.34
21.2;0.63
21.3;0.57
21.4;0.52
21.5;0.52
21.6;0.52
21.7;0.52
21.8;0.57
21.9;0.63
22.0;0.52
22.1;0.46
22.2;0.57
22.3;0.46
22.4;0.46
22.5;0.52
22.6;0.52
22.7;0.52
22.8;0.57
22.9;0.40
23.0;0.34
23.1;0.52
23.2;0.52
23.3;0.52
23.4;0.57
23.5;0.40
23.6;0.57
23.7;0.57
23.8;0.40
23.9;0.46
24.0;0.57
24.1;0.57
24.2;0.46
24.3;0.40
24.4;0.52
24.5;0.34
24.6;0.46
24.7;0.46
24.8;0.57
24.9;0.52
25.0;0.52
25.1;0.57
25.2;0.57
No Limits selected
